ticket,symbol,type,volume,profit,entry,current,SL,TP,comment
891787478,EURUSD,BUY,0.05,-9.2,1.179,1.17746,0,1.18377,GRID|BUY|1.17900
891787479,EURUSD,SELL,0.05,7.48,1.179,1.17758,0,1.17462,GRID|SELL|1.17900
891787482,EURUSD,BUY,0.05,-14.15,1.17999,1.17746,0,1.18377,GRID|BUY|1.18000
891787486,EURUSD,BUY,0.05,-19.2,1.181,1.17746,0,1.18695,GRID|BUY|1.18100
891787490,EURUSD,BUY,0.05,-22.7,1.182,1.17746,0,1.18695,GRID|BUY|1.18200
892463347,EURUSD,SELL,0.05,12.05,1.17999,1.17758,0,1.17462,GRID|SELL|1.18000
